Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1997,202285,202389,202513,202674,202832,203000,203166,203364,203570,203767,203941,204098
1998,204238,204400,204547,204731,204899,205085,205270,205479,205699,205919,206104,206270
1999,206719,206873,207036,207236,207427,207632,207828,208038,208265,208483,208666,208832
2000,211410,211576,211772,212018,212242,212466,212677,212916,213163,213405,213540,213736
2001,213888,214110,214305,214525,214732,214950,215180,215420,215665,215903,216117,216315
2002,216506,216663,216823,217006,217198,217407,217630,217866,218107,218340,218548,218741
2003,219897,220114,220317,220540,220768,221014,221252,221507,221779,222039,222279,222509
2004,222161,222357,222550,222757,222967,223196,223422,223677,223941,224192,224422,224640
2005,224837,225041,225236,225441,225670,225911,226153,226421,226693,226959,227204,227425
2006,227553,227763,227975,228199,228428,228671,228912,229167,229420,229675,229905,230108
2007,230650,230834,231034,231253,231480,231713,231958,232211,232461,232715,232939,233156
2008,232616,232809,232995,233198,233405,233627,233864,234107,234360,234612,234828,235035
2009,234739,234913,235086,235271,235452,235655,235870,236087,236322,236550,236743,236924
2010,236832,236998,237159,237329,237499,237690,237890,238099,238322,238530,238715,238889
2011,238704,238851,239000,239146,239313,239489,239671,239871,240071,240269,240441,240584
2012,242269,242435,242604,242784,242966,243155,243354,243566,243772,243983,244174,244350
2013,244663,244828,244995,245175,245363,245552,245756,245959,246168,246381,246567,246745
2014,246915,247085,247258,247439,247622,247814,248023,248229,248446,248657,248844,249027
2015,249723,249899,250080,250266,250455,250663,250876,251096,251325,251541,251747,251936
2016,252397,252577,252768,252969,253174,253397,253620,253854,254091,254321,254540,254742
2017,254082,254246,254414,254588,254767,254957,255151,255357,255562,255766,255949,256109
2018,256780,256934,257097,257272,257454,257642,257843,258066,258290,258514,258708,258888
2019,258239,258392,258537,258693,258861,259037,259225,259432,259638,259845,260020,260181
2020,259502,259628,259758,259896,260047,260204,260373,260558,260742,260925,261085,261230
2021,260851,260918,261003,261103,261210,261338,261469,261611,261766,261908,262029,262136
2022,263202,263324,263444,263559,263679,263835,264012,264184,264356,264535,264708,264844
2023,265962,266112,266272,266443,266618,266801,267002,267213,267428,267642,267822,267991
